Hero Image,imgsrc,Details,Description,desctext,longtext,Name,Excursion Link
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/kw64rMYqpu/original_C46-1741965-1.jpg?w=750&h=563&fit=crop,y,n,"Think of the Panama Canal, and the image that may come to mind is of the world’s huge tankers and cruise ships passing through a series of locks. That, however, reflects only one aspect of this...

","Think of the Panama Canal, and the image that may come to mind is of the world’s huge tankers and cruise ships passing through a series of locks. That, however, reflects only one aspect of this part of the world. As ships travel from the Pacific to the Atlantic, they also pass colonial towns, historic fortresses and manmade lakes that are today home to sanctuaries for hundreds of different animal and plant species. At the canal’s Pacific entrance, Panama City's glittering skyline of office towers and condominiums reflects the country’s dynamic present and future. Some 77 kilometers (48 miles) to the north, at the Caribbean entrance to the Panama Canal, Colón evokes the old Panama of yesteryear, with its historic buildings gradually being restored. Traveling between these two cities, an epic tale unfolds before you—an old-school feat of engineering, ambition and courage. As David McCullough recounts in his sweeping history The Path Between the Seas, it was a combination of sheer human might and engineering prowess that today allows ships to cross the Panama isthmus, saving sailors from making the dangerous, almost 13,000-kilometer (8,000-mile) journey around the tip of South America. ",Exit Panama Canal Cristobal,https://www.hollandamerica.com/en_US/ports/exit-panama-canal-cristobal.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/KbDiDSyh8u/original_C_hero_D65-2103812.jpg?w=750&h=563&fit=crop,y,n,"Shimmering blue waters, swaying palm trees and soft ocean breezes greet you in Ft. Lauderdale, Florida, where you'll find yourself somewhere between laid-back island time and the fast pace of a...

","Shimmering blue waters, swaying palm trees and soft ocean breezes greet you in Ft. Lauderdale, Florida, where you'll find yourself somewhere between laid-back island time and the fast pace of a thriving city. In this sun-filled, year-round beach town, pristine beaches are the main attraction, shorts and flip-flops are the daily uniform, and yachts are often the preferred form of transportation. It's a place where you can do as much, or as little, as you desire. Because of its many canals and waterways, Ft. Lauderdale is sometimes called the Venice of America. It's home to the annual Fort Lauderdale International Boat Show, one of the largest in-water boat shows in the world. Visitors can easily get a taste of the area's nautical lifestyle by cruising the Intracoastal Waterway on an old-fashioned paddle wheeler. Other options include hopping aboard one of the popular water taxis or Venetian gondolas that glide down the historic New River, which flows right through town. While Ft. Lauderdale is often overshadowed by its flashy neighbor, Miami, the port city is expanding rapidly as major developers and high-end resorts build up the beachfront and surrounding neighborhoods. Visitors will find world-class shopping on famous Las Olas Boulevard, celebrated restaurants and a cultural explosion in the Riverwalk Arts & Entertainment District. It's clear that Ft. Lauderdale is solidifying its place as a sophisticated destination.","Fort Lauderdale, Florida, US",https://www.hollandamerica.com/en_US/ports/fort-lauderdale-florida-us.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/Xe4HrVcCbK/original_XH8-903972.jpg?w=750&h=563&fit=crop,y,n,"Located west of Panama City at the Pacific entrance to the Panama Canal, Fuerte Amador is a gateway to exploring the many faces of this unique Central American country. The impressive engineering...

","Located west of Panama City at the Pacific entrance to the Panama Canal, Fuerte Amador is a gateway to exploring the many faces of this unique Central American country. The impressive engineering of the canal itself is a wonder to behold; a quick trip to the Miraflores Locks' visitor center with its panoramic observation decks offers the chance to watch behemoth barges thread their way through the legendary manmade waterway. Just minutes from the cruise port, the recently opened Biomuseo is a Frank Gehry–designed natural-history museum dedicated to Panama's ecological marvels. And Fuerte Amador sits within easy taxi distance of Panama City, the bustling, multicultural capital metropolis where visitors can wander a conquistador-era UNESCO World Heritage Site, sip coffee in street cafés and peruse modern malls. For a rural escape, it only takes an hour or two by car to trade the city for the tropical rain forests of Soberanía National Park, where an aerial tram carries passengers through treetops, or to meet Emberá tribespeople in their traditional village along the Chagres River.","Fuerte Amador, Panama",https://www.hollandamerica.com/en_US/ports/fuerte-amador-panama.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/n1GQTF8U3R/original_original_abf1512823eaa790d5fc5d2f4aee79f7.jpg?w=750&h=563&fit=crop,y,n,"At the center of one of the world’s greatest engineering projects is a place where nature has been given a space to flourish—the vast Gatún Lake. The lake includes some 33...

","At the center of one of the world’s greatest engineering projects is a place where nature has been given a space to flourish—the vast Gatún Lake. The lake includes some 33 kilometers (20 miles) of the 77-kilometer (48-mile) route that ships follow through the Panama Canal. While a passenger gazing at its forested shores may assume they are looking at a landscape that predates the canal, the lake is as much a manmade creation as the various locks. It was formed in 1912, with the damming of the Chagres River, and the islands that dot the lake were once the peaks of hills.The surface of the lake sits at an elevation of between 25 and 27 meters (82 and 87 feet) above sea level. At its Caribbean end, the Gatún Locks raise ships traveling towards the Pacific to the level of the lake; at its other end, the Pedro Miguel and then the Miraflores Locks lower them back to sea level. In addition to opportunities to see the infrastructure of the canal, created at the expense of millions of dollars and thousands of lives, Gatún Lake is fascinating for its remarkable biodiversity. More than 100 species each of mammals and reptiles, as well as some 500 different birds, thrive in the nature reserves in and near the lake.","Gatun Lake, Panama",https://www.hollandamerica.com/en_US/ports/gatun-lake-panama.html
n,https://www.hollandamerica.com/content/dam/hal/marketing-assets/images/hmc_page-hero.jpg.image.750.563.low.jpg,y,n,"The Caribbean is full of tropical wonders. But there’s nothing like Half Moon Cay, Holland America Line’s 2,400-acre private island paradise in the Bahamas. The most authentic, highest-rated...

","The Caribbean is full of tropical wonders. But there’s nothing like Half Moon Cay, Holland America Line’s 2,400-acre private island paradise in the Bahamas. The most authentic, highest-rated private-island experience in the region, Half Moon Cay has won Porthole Cruise Magazine’s Best Private Island award 17 consecutive years, and was also named the best in Travel Weekly's Readers' Choice Awards. One visit and it’s easy to see why Holland America Line guests wish they could stay here forever. Most Caribbean cruises departing from Ft. Lauderdale include a day at Half Moon Cay. Uncrowded and unspoiled, it combines the unparalleled natural beauty of a protected preserve with access to a wide range of amenities and activities. With miles of pristine, white-sand beach, guests can stay busy all day or simply luxuriate in tranquil solitude. Holland America Line acquired this beautiful island more than 20 years ago to create a unique and memorable experience for our Caribbean cruise guests. ","Half Moon Cay, Bahamas",https://www.hollandamerica.com/en_US/ports/half-moon-cay-bahamas.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/Ef4RtCiT7L/original_TIP-007ACA00213.jpg?w=750&h=563&fit=crop,y,n,"Huatulco, situated on Mexico's Pacific Coast in the state of Oaxaca, has nine bays and 36 beaches, offering more than enough opportunities for fun in the sun. The most popular beach is La Entrega,...

","Huatulco, situated on Mexico's Pacific Coast in the state of Oaxaca, has nine bays and 36 beaches, offering more than enough opportunities for fun in the sun. The most popular beach is La Entrega, with clean white sand and calm waters, perfect for snorkeling and swimming . . . or just relaxing. But Huatulco's attractions aren't limited to sand and surf; there are also archaeological sites to explore, rivers to raft, and waterfalls whose pools invite childlike splashing. Bird lovers, in particular, will find Huatulco to be especially captivating. The region is home to more than 225 bird species, including many rare ones and a number that are endemic to Mexico, like the Colima pygmy owl and the wildly colorful orange-breasted bunting and citreoline trogon. Bring your bird list, because you're sure to add new species to your ""sighted"" column. And the food in Huatulco! The food will give you plenty to write home about. The state of Oaxaca has some of the most iconic dishes in Mexico's culinary repertoire. You won't go home hungry. ","Huatulco, Mexico",https://www.hollandamerica.com/en_US/ports/huatulco-mexico.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/5RkpycExpZ/original_A91-327510_copy.jpg?w=750&h=563&fit=crop,y,n,"One of the first things you’ll notice about Key West, after the colorful gingerbread wooden houses and the amazing sunsets, is the constant crowing of roosters. Hundreds of the noisy birds—along...

","One of the first things you’ll notice about Key West, after the colorful gingerbread wooden houses and the amazing sunsets, is the constant crowing of roosters. Hundreds of the noisy birds—along with their quieter-clucking mates—roam the streets at all hours, and are nearly as synonymous with Key West as its six-toed cats, the famous furry residents of Ernest Hemingway’s mansion in the Old Town district. They’re all part of the quirky charm of the United States' southernmost point, whose compact 11 square kilometers (4.2 square miles) pack in everything from gorgeous historic architecture and spectacular fishing and sailing to a raucous party scene along famed Duval Street.While the island is known for its laid-back approach to life—“Margaritaville” singer Jimmy Buffett developed his signature musical style in bars around town—it also has a flourishing creative scene, with many galleries and artists' studios as well as live theater. But back to those brilliant sunsets: There is no shortage of places in Key West to soak in the fiery spectacle, from sunset cruises to rowdy waterfront bars to peaceful beachside parks.","Key West, Florida, US",https://www.hollandamerica.com/en_US/ports/key-west-florida-us.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/rFu6xRxn3X/original_PNA-4054833_copy.jpg?w=750&h=563&fit=crop,y,n,"Almost as soon as you pull into the port of Kralendijk, you’ll realize it’s one of the most laid-back landings around. Though there are some colorful streets to stroll...

","Almost as soon as you pull into the port of Kralendijk, you’ll realize it’s one of the most laid-back landings around. Though there are some colorful streets to stroll nearby—remnants (mostly) of Bonaire’s Dutch-colonial era—even the busiest lack the bustle of other Caribbean capitals. Which is a good thing. The comparative sleepiness helps maintain the island’s chief attributes: legendarily pristine wilderness, both above and below the surface; mangroves full of baby fish; and salt flats full of flamingos. And reefs full of . . . everything. Nature’s cup overfloweth here. And, by the way, so will yours (have the cactus liqueur even if you try no other local beverage). There’s also an embarrassment of cultural riches, thanks to the layers of Amerindian, Spanish, African, Dutch and British influences on the island. In fact, you’ll hear traces of the languages of all of the above (plus some French and Portuguese) during any given conversation in Papiamento, the creole language spoken throughout the Netherlands Antilles. You'll find you can get by just fine with a few key phrases: por fabor, danki and bon dia—all of which mean exactly what you think they do.","Kralendijk, Bonaire",https://www.hollandamerica.com/en_US/ports/kralendijk-bonaire.html
n,https://www.hollandamerica.com/content/dam/hal/marketing-assets/Ports/SAmerica/los-angeles-california-usa-c037.jpg.image.750.563.low.jpg,y,n,"Nestled up in the hills is the Hollywood sign, marketing this city as the entertainment capital of the world. Stroll glamorous Rodeo Drive in Beverly Hills, take a drive to Malibu or soak up the...

","Nestled up in the hills is the Hollywood sign, marketing this city as the entertainment capital of the world. Stroll glamorous Rodeo Drive in Beverly Hills, take a drive to Malibu or soak up the beach scene on Venice's colorful boardwalk.  
","Los Angeles, California, US",https://www.hollandamerica.com/en_US/ports/los-angeles-california-us.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/4YnPX94ve9/original_EUB-20104126.jpg?w=750&h=563&fit=crop,y,n,"A glance at Manzanillo’s coat of arms tells you most of what you need to know about one of Mexico’s most significant port cities. Divided into four quadrants, the shield features a...

","A glance at Manzanillo’s coat of arms tells you most of what you need to know about one of Mexico’s most significant port cities. Divided into four quadrants, the shield features a multi-masted sailing vessel, a ship’s wheel and anchor, a coconut palm rooted in golden sand against an ocean backdrop and a sailfish arcing out of the water. The only item missing, perhaps, is a plate of freshly caught seafood. Manzanillo is one of Mexico’s busiest, most important ports (some say the busiest and most important). Located on the Pacific, it’s nicknamed the Sailfish Capital of the World. It’s little wonder, then, that most of the activities in Manzanillo are centered on or near the water, and most of the city’s culinary specialties are inspired by the fruits of the sea. Don’t have high hopes if you plan to shop for authentic souvenirs here; many of the options are chain stores that may be familiar to you and which offer the same goods you could buy at home. No worries, though: Your money is best spent on Manzanillo’s experiences.","Manzanillo, Mexico",https://www.hollandamerica.com/en_US/ports/manzanillo-mexico.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/m1m3Z9drQN/original_CLU-CAM-00077104.jpg?w=750&h=563&fit=crop,y,n,"Located off the coast of Venezuela, the windswept Dutch island of Aruba is otherworldly. Here, the beaches are spectacularly pristine, the waters are romantically restless, the island interior is...

","Located off the coast of Venezuela, the windswept Dutch island of Aruba is otherworldly. Here, the beaches are spectacularly pristine, the waters are romantically restless, the island interior is lunar-like and filled with cacti, and the trees are—quite famously—bent in the wind. The island's consistent trade winds are part of the destination's allure: They keep the humidity, rain and hurricanes common in much of the Caribbean during its off-season at bay.The main port and capital city, Oranjestad, is a maze of Dutch-colonial architecture painted in a palette of Caribbean pastels. There are some historic sites of note and myriad shops, from boutiques to megastores, selling all sorts of keepsakes, with jewelry and gold being popular items—in fact, gold was mined here in the 19th century. In Oranjestad and along the beaches you'll also find a treasure trove of excellent seafood restaurants, while farther afield are lighthouses, gold mine ruins and natural wonders that reflect the rugged appeal of Aruba.","Oranjestad, Aruba",https://www.hollandamerica.com/en_US/ports/oranjestad-aruba.html
n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/n8hEgas4Un/original_HMS-HEMIS-2187379.jpg?w=750&h=563&fit=crop,y,n,"One of the stops along the Panama Canal Zone route, Puerto Caldera on Costa Rica's Pacific Coast isn't your ordinary port of call, positioned as it is within easy day-trip distance of the country's...

","One of the stops along the Panama Canal Zone route, Puerto Caldera on Costa Rica's Pacific Coast isn't your ordinary port of call, positioned as it is within easy day-trip distance of the country's multiple national parks. The town itself is small, but makes for an ideal base from which travelers can venture out to explore the variety of this Central American country's outdoor attractions and activities. These include snapping photos of gushing waterfalls (and swimming at the base of one, if you bring your swimsuit!), sightseeing near active volcanoes, bird-watching in nature reserves and sanctuaries and horseback riding on Pacific beaches . . . and that's just for starters. Visitors to Puerto Caldera and the surrounding region also enjoy shopping for handicrafts that local artists sell at their cooperatives, as well as sampling traditional Tico cuisine, especially gallo pinto—a combination of rice and beans eaten at any time of the day or night. Puerto Caldera is the perfect reminder that adventure often awaits just around the bend.","Puerto Caldera (Puntarenas), Costa Rica",https://www.hollandamerica.com/en_US/ports/puerto-caldera-puntarenas-costa-rica.html
